102123 17:04:24  ERROR - Exception on pump web API call, possible timeout
102123 17:04:39  ERROR - Exception on pump web API call, possible timeout
102123 17:04:39  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:04:39  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:04:39  Resetting USB bus!!!!!
102123 17:04:43  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:04:43  ERROR - TDS fault
102123 17:04:43  Possible disconnected soil sensor: 0
102123 17:04:43  Possible disconnected soil sensor: 1
102123 17:04:43  Possible disconnected soil sensor: 2
102123 17:04:43  Possible disconnected soil sensor: 3
102123 17:04:43  Possible disconnected soil sensor: 4
102123 17:04:48  ERROR - Exception on sensor web API call, possible timeout
102123 17:04:51  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:04:51  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:04:52  ERROR - TDS fault
102123 17:04:52  Possible disconnected soil sensor: 0
102123 17:04:52  Possible disconnected soil sensor: 1
102123 17:04:52  Possible disconnected soil sensor: 2
102123 17:04:52  Possible disconnected soil sensor: 3
102123 17:04:52  Possible disconnected soil sensor: 4
102123 17:04:55  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:04:55  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:04:55  ERROR - TDS fault
102123 17:04:55  Possible disconnected soil sensor: 0
102123 17:04:55  Possible disconnected soil sensor: 1
102123 17:04:55  Possible disconnected soil sensor: 2
102123 17:04:55  Possible disconnected soil sensor: 3
102123 17:04:55  Possible disconnected soil sensor: 4
102123 17:04:58  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:04:58  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:04:59  ERROR - TDS fault
102123 17:04:59  Possible disconnected soil sensor: 0
102123 17:04:59  Possible disconnected soil sensor: 1
102123 17:04:59  Possible disconnected soil sensor: 2
102123 17:04:59  Possible disconnected soil sensor: 3
102123 17:04:59  Possible disconnected soil sensor: 4
102123 17:05:02  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:05:02  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:05:02  ERROR - TDS fault
102123 17:05:02  Possible disconnected soil sensor: 0
102123 17:05:02  Possible disconnected soil sensor: 1
102123 17:05:02  Possible disconnected soil sensor: 2
102123 17:05:02  Possible disconnected soil sensor: 3
102123 17:05:02  Possible disconnected soil sensor: 4
102123 17:05:05  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:05:05  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:05:06  ERROR - TDS fault
102123 17:05:06  Possible disconnected soil sensor: 0
102123 17:05:06  Possible disconnected soil sensor: 1
102123 17:05:06  Possible disconnected soil sensor: 2
102123 17:05:06  Possible disconnected soil sensor: 3
102123 17:05:06  Possible disconnected soil sensor: 4
102123 17:05:09  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:05:09  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:05:09  ERROR - TDS fault
102123 17:05:09  Possible disconnected soil sensor: 0
102123 17:05:09  Possible disconnected soil sensor: 1
102123 17:05:09  Possible disconnected soil sensor: 2
102123 17:05:09  Possible disconnected soil sensor: 3
102123 17:05:09  Possible disconnected soil sensor: 4
102123 17:05:12  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:05:12  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:05:13  ERROR - TDS fault
102123 17:05:13  Possible disconnected soil sensor: 0
102123 17:05:13  Possible disconnected soil sensor: 1
102123 17:05:13  Possible disconnected soil sensor: 2
102123 17:05:13  Possible disconnected soil sensor: 3
102123 17:05:13  Possible disconnected soil sensor: 4
102123 17:05:16  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:05:16  ERROR - Could not open USB port with pH probe: [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
102123 17:05:16  ERROR - TDS fault
102123 17:05:16  Possible disconnected soil sensor: 0
102123 17:05:16  Possible disconnected soil sensor: 1
102123 17:05:16  Possible disconnected soil sensor: 2
102123 17:05:16  Possible disconnected soil sensor: 3
102123 17:05:16  Possible disconnected soil sensor: 4
