102123 17:04:39  Resetting USB bus!!!!!
102123 17:04:43  S0: -1 (-1) S1: -1 (-1) S2: -1 (-1) S3: -1 (-1) S4: -1 (-1) WC: -1 pH: -1
102123 17:04:52  S0: -1 (-1) S1: -1 (-1) S2: -1 (-1) S3: -1 (-1) S4: -1 (-1) WC: -1 pH: -1
102123 17:04:59  S0: -1 (-1) S1: -1 (-1) S2: -1 (-1) S3: -1 (-1) S4: -1 (-1) WC: -1 pH: -1
102123 17:05:06  S0: -1 (-1) S1: -1 (-1) S2: -1 (-1) S3: -1 (-1) S4: -1 (-1) WC: -1 pH: -1
102123 17:05:13  S0: -1 (-1) S1: -1 (-1) S2: -1 (-1) S3: -1 (-1) S4: -1 (-1) WC: -1 pH: -1
102123 17:05:20  S0: -1 (-1) S1: -1 (-1) S2: -1 (-1) S3: -1 (-1) S4: -1 (-1) WC: -1 pH: -1
102123 17:05:27  S0: -1 (-1) S1: -1 (-1) S2: -1 (-1) S3: -1 (-1) S4: -1 (-1) WC: -1 pH: -1
102123 17:05:34  S0: -1 (-1) S1: -1 (-1) S2: -1 (-1) S3: -1 (-1) S4: -1 (-1) WC: -1 pH: -1
102123 17:05:41  S0: -1 (-1) S1: -1 (-1) S2: -1 (-1) S3: -1 (-1) S4: -1 (-1) WC: -1 pH: -1
102123 17:05:48  S0: -1 (-1) S1: -1 (-1) S2: -1 (-1) S3: -1 (-1) S4: -1 (-1) WC: -1 pH: -1
102123 17:05:55  S0: -1 (-1) S1: -1 (-1) S2: -1 (-1) S3: -1 (-1) S4: -1 (-1) WC: -1 pH: -1
102123 17:06:02  S0: -1 (-1) S1: -1 (-1) S2: -1 (-1) S3: -1 (-1) S4: -1 (-1) WC: -1 pH: -1
102123 17:06:09  S0: -1 (-1) S1: -1 (-1) S2: -1 (-1) S3: -1 (-1) S4: -1 (-1) WC: -1 pH: -1
102123 17:06:16  S0: -1 (-1) S1: -1 (-1) S2: -1 (-1) S3: -1 (-1) S4: -1 (-1) WC: -1 pH: -1
102123 17:06:23  S0: -1 (-1) S1: -1 (-1) S2: -1 (-1) S3: -1 (-1) S4: -1 (-1) WC: -1 pH: -1
102123 17:06:30  S0: -1 (-1) S1: -1 (-1) S2: -1 (-1) S3: -1 (-1) S4: -1 (-1) WC: -1 pH: -1
102123 17:06:37  S0: -1 (-1) S1: -1 (-1) S2: -1 (-1) S3: -1 (-1) S4: -1 (-1) WC: -1 pH: -1
102123 17:06:44  S0: -1 (-1) S1: -1 (-1) S2: -1 (-1) S3: -1 (-1) S4: -1 (-1) WC: -1 pH: -1
102123 17:06:51  S0: -1 (-1) S1: -1 (-1) S2: -1 (-1) S3: -1 (-1) S4: -1 (-1) WC: -1 pH: -1
102123 17:06:58  S0: -1 (-1) S1: -1 (-1) S2: -1 (-1) S3: -1 (-1) S4: -1 (-1) WC: -1 pH: -1
102123 17:07:05  S0: -1 (-1) S1: -1 (-1) S2: -1 (-1) S3: -1 (-1) S4: -1 (-1) WC: -1 pH: -1
102123 17:07:12  S0: -1 (-1) S1: -1 (-1) S2: -1 (-1) S3: -1 (-1) S4: -1 (-1) WC: -1 pH: -1
102123 17:07:19  S0: -1 (-1) S1: -1 (-1) S2: -1 (-1) S3: -1 (-1) S4: -1 (-1) WC: -1 pH: -1
102123 17:07:26  S0: -1 (-1) S1: -1 (-1) S2: -1 (-1) S3: -1 (-1) S4: -1 (-1) WC: -1 pH: -1
